Hour,VMT (Veh-Miles),VHT (Veh-Hours),# Lane Points,% Observed
3/6/2023 0:00,"4,730,945.90","71,292.80",430583,55.00
3/6/2023 1:00,"3,539,705.60","53,661.00",430728,55.00
3/6/2023 2:00,"3,303,421.80","50,292.40",430476,54.90
3/6/2023 3:00,"4,293,866.20","65,046.60",430728,54.90
3/6/2023 4:00,"7,919,316.80","119,801.60",430728,54.80
3/6/2023 5:00,"14,305,114.10","221,152.50",430728,54.70
3/6/2023 6:00,"19,642,311.80","333,536.50",430728,54.70
3/6/2023 7:00,"23,449,968.60","434,461.00",430728,54.90
3/6/2023 8:00,"22,889,489.10","436,656.70",430728,54.90
3/6/2023 9:00,"20,855,717.40","371,195.20",430728,55.00
3/6/2023 10:00,"20,385,803.10","350,016.50",430728,55.00
3/6/2023 11:00,"20,795,127.80","350,584.50",430728,55.00
3/6/2023 12:00,"21,570,046.20","360,747.60",430728,55.00
3/6/2023 13:00,"22,414,257.40","376,227.90",430728,55.00
3/6/2023 14:00,"24,273,701.10","418,134.80",430728,55.00
3/6/2023 15:00,"25,237,757.40","461,938.20",430728,55.00
3/6/2023 16:00,"25,207,466.90","478,793.20",430728,55.00
3/6/2023 17:00,"24,489,409.70","465,298.70",430723,54.90
3/6/2023 18:00,"20,372,848.10","358,756.80",430728,54.90
3/6/2023 19:00,"16,213,976.40","259,268.90",430728,54.90
3/6/2023 20:00,"13,194,221.00","204,051.40",430728,55.00
3/6/2023 21:00,"11,124,482.50","168,593.00",430728,55.00
3/6/2023 22:00,"8,643,841.90","131,148.00",430728,55.00
3/6/2023 23:00,"6,162,652.90","93,756.00",430476,55.00
3/7/2023 0:00,"4,355,838.90","66,104.20",430608,53.60
3/7/2023 1:00,"3,377,001.90","51,720.60",430476,55.40
3/7/2023 2:00,"3,296,908.10","50,510.40",430728,55.30
3/7/2023 3:00,"4,326,075.50","65,644.70",430728,55.20
3/7/2023 4:00,"7,971,581.80","119,600.80",430702,55.20
3/7/2023 5:00,"14,644,589.60","221,292.20",430728,55.10
