Week,VMT (Veh-Miles),# Lane Points,% Observed
3/5/2023 0:00,"2,330,803,885.20",62021498,54.20
3/12/2023 0:00,"2,682,819,325.90",71993549,52.50
3/19/2023 0:00,"2,697,734,940.90",72414267,53.40
3/26/2023 0:00,"2,772,055,884.90",72419651,43.90
4/2/2023 0:00,"2,768,911,082.00",72488174,55.80
4/9/2023 0:00,"2,786,744,199.50",72516310,55.40
4/16/2023 0:00,"2,784,146,390.00",72513399,50.30
4/23/2023 0:00,"2,788,692,015.50",72529102,51.50
4/30/2023 0:00,"2,744,233,729.40",72546378,55.20
5/7/2023 0:00,"2,812,138,173.40",72540598,55.30
5/14/2023 0:00,"2,808,316,786.80",72529865,48.20
5/21/2023 0:00,"2,823,139,873.80",72528053,48.80
5/28/2023 0:00,"2,771,887,580.80",72534672,52.60
6/4/2023 0:00,"2,815,420,744.60",72538973,53.40
6/11/2023 0:00,"2,849,173,902.80",72551524,51.90
6/18/2023 0:00,"2,846,602,739.40",72536180,44.50
6/25/2023 0:00,"2,845,717,043.10",72583734,49.80
7/2/2023 0:00,"2,737,021,580.60",72596820,50.70
7/9/2023 0:00,"2,829,055,101.30",72593285,50.70
7/16/2023 0:00,"2,865,252,687.30",73245645,50.40
7/23/2023 0:00,"2,890,219,396.30",73793074,50.10
7/30/2023 0:00,"2,884,258,465.40",73803386,50.50
8/6/2023 0:00,"2,884,426,115.10",73793300,50.20
8/13/2023 0:00,"2,866,111,371.80",73811942,51.00
8/20/2023 0:00,"2,773,100,704.80",73899476,50.00
8/27/2023 0:00,"2,854,097,800.60",73886316,50.20
9/3/2023 0:00,"2,794,621,310.00",73892100,50.90
9/10/2023 0:00,"2,832,037,380.40",73889833,51.10
9/17/2023 0:00,"2,855,108,701.00",74302879,54.10
9/24/2023 0:00,"2,857,602,777.00",74922579,52.80
10/1/2023 0:00,"2,852,626,361.00",74914230,53.30
10/8/2023 0:00,"2,855,264,337.40",74893817,52.90
10/15/2023 0:00,"2,855,704,856.40",74811080,53.00
10/22/2023 0:00,"2,844,005,634.40",74632049,52.60
10/29/2023 0:00,"2,822,421,987.60",74705414,52.80
11/5/2023 0:00,"2,813,421,188.20",74709548,52.80
11/12/2023 0:00,"2,790,301,290.10",74782452,53.40
11/19/2023 0:00,"2,751,628,274.80",74946539,53.40
11/26/2023 0:00,"2,788,504,285.10",75059365,53.00
12/3/2023 0:00,"2,765,888,428.40",74784414,53.40
12/10/2023 0:00,"2,797,456,091.90",74651156,54.10
12/17/2023 0:00,"2,521,110,830.00",67568548,56.90
12/24/2023 0:00,"2,641,420,776.90",74608889,55.10
12/31/2023 0:00,"2,607,090,680.40",74662316,52.20
1/7/2024 0:00,"2,687,396,457.00",74686296,50.90
1/14/2024 0:00,"2,688,945,344.20",74628993,53.60
1/21/2024 0:00,"2,682,463,582.20",74667240,52.50
1/28/2024 0:00,"2,702,992,932.20",74622155,53.80
2/4/2024 0:00,"2,642,539,509.00",74629814,52.20
2/11/2024 0:00,"2,775,749,255.80",74643806,53.80
2/18/2024 0:00,"2,736,094,464.00",74608339,53.50
2/25/2024 0:00,"2,752,267,473.20",74647412,53.50
3/3/2024 0:00,"1,291,553,940.20",36871555,53.80
